"id" "technique" "technique_name" "algorithm" "blackbox" "evaluatedActions" "elapsedSeconds" "covered_lines" "total_lines" "covered_branches" "total_branches" "coverage_branch" "faults"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100007" "38" "398" "619" "51" "86" "593" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100004" "37" "398" "619" "47" "82" "573" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100001" "35" "399" "619" "53" "90" "588" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100003" "34" "397" "619" "46" "84" "547" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100007" "33" "397" "619" "48" "84" "571" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100001" "32" "397" "619" "47" "85" "552" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100003" "32" "397" "619" "46" "85" "541" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100000" "32" "394" "619" "46" "79" "582" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100000" "33" "397" "619" "50" "85" "588" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100005" "32" "399" "619" "49" "85" "576" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100001" "31" "399" "619" "48" "83" "578" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100001" "33" "397" "619" "49" "85" "576" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100002" "32" "397" "619" "48" "85" "564" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100005" "32" "394" "619" "46" "79" "582" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100002" "34" "397" "619" "48" "85" "564" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100001" "32" "399" "619" "47" "82" "573" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100002" "33" "397" "619" "48" "85" "564" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100005" "32" "401" "619" "48" "84" "571" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100007" "32" "397" "619" "47" "85" "552" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100003" "32" "397" "619" "47" "82" "573" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100003" "32" "397" "619" "47" "84" "559" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100001" "32" "397" "619" "49" "85" "576" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100006" "33" "397" "619" "46" "84" "547" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100000" "32" "397" "619" "48" "85" "564" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100006" "32" "397" "619" "48" "84" "571" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100000" "32" "397" "619" "46" "84" "547" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100001" "32" "399" "619" "50" "85" "588" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100005" "31" "397" "619" "49" "84" "583" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "525301" "228" "402" "619" "55" "86" "639" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "523224" "228" "397" "619" "49" "85" "576" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "521083" "228" "398" "619" "53" "86" "616" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "519352" "228" "400" "619" "52" "85" "611" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "530166" "228" "403" "619" "58" "90" "644" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "528840" "228" "400" "619" "53" "86" "616" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "532503" "228" "399" "619" "52" "85" "611" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "529240" "228" "399" "619" "51" "85" "600" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "537508" "228" "399" "619" "51" "85" "600" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "648729" "228" "401" "619" "53" "85" "623" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "530374" "228" "399" "619" "52" "85" "611" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "531814" "228" "403" "619" "52" "85" "611" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "529880" "228" "401" "619" "53" "85" "623" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "534956" "228" "401" "619" "53" "85" "623" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "469039" "228" "403" "619" "54" "85" "635" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "544820" "228" "405" "619" "60" "91" "659" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "537061" "228" "404" "619" "56" "86" "651" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "544284" "228" "401" "619" "52" "85" "611" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "521501" "228" "402" "619" "55" "86" "639" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "508643" "228" "405" "619" "54" "85" "635" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "497937" "228" "400" "619" "53" "86" "616" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "536933" "228" "403" "619" "62" "92" "673" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "493666" "228" "407" "619" "56" "88" "636" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "499298" "228" "403" "619" "54" "85" "635" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "519691" "228" "403" "619" "54" "85" "635" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "490622" "228" "401" "619" "54" "86" "627" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "517974" "228" "402" "619" "54" "86" "627" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "504840" "228" "399" "619" "50" "85" "588" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "495516" "228" "402" "619" "55" "86" "639" "13"
"scs-js" "evomaster" "evo-bb-tb" "Random" "true" "518830" "228" "402" "619" "56" "87" "643" "13"
"scs-js" "RESTler" "restler-tb" "Default" "true" "2615" "SPECIFIED" "378" "619" "22" "71" "309" "2"
